Kode,Nama Perusahaan,Papan Pencatatan,Kategori
LUCY,Lima Dua Lima Tiga Tbk.,Akselerasi,Lainnya
ADCP,Adhi Commuter Properti Tbk.,Pengembangan,Properti & Real Estate
HOPE,Harapan Duta Pertiwi Tbk.,Pengembangan,Lainnya
MGLV,NexAI Digital Infrastruktur Tb,Akselerasi,Infrastruktur & Telekomunikasi
TRUE,Triniti Dinamik Tbk.,Pengembangan,Lainnya
LABA,Green Power Group Tbk.,Pengembangan,Infrastruktur & Telekomunikasi
ARCI,Archi Indonesia Tbk.,Pengembangan,Lainnya
IPAC,Era Graharealty Tbk.,Akselerasi,Properti & Real Estate
MASB,Bank Multiarta Sentosa Tbk.,Utama,Perbankan
BMHS,Bundamedik Tbk.,Utama,Lainnya
FLMC,Falmaco Nonwoven Industri Tbk.,Akselerasi,Lainnya
NICL,PAM Mineral Tbk.,Pengembangan,Lainnya
UVCR,Trimegah Karya Pratama Tbk.,Pengembangan,Konstruksi & Bahan Bangunan
BUKA,Bukalapak.com Tbk.,Ekonomi Baru,Lainnya
HAIS,Hasnur Internasional Shipping,Pengembangan,Transportasi & Logistik
OILS,Indo Oil Perkasa Tbk.,Pengembangan,Energi & Pertambangan
GPSO,Geoprima Solusi Tbk.,Pengembangan,Lainnya
MCOL,Prima Andalan Mandiri Tbk.,Utama,Lainnya
RSGK,Kedoya Adyaraya Tbk.,Pengembangan,Lainnya
RUNS,Global Sukses Solusi Tbk.,Akselerasi,Lainnya
SBMA,Surya Biru Murni Acetylene Tbk,Pengembangan,Lainnya
CMNT,Cemindo Gemilang Tbk.,Pengembangan,Lainnya
GTSI,GTS Internasional Tbk.,Pengembangan,Lainnya
IDEA,Idea Indonesia Akademi Tbk.,Akselerasi,Lainnya
KUAS,Ace Oldfields Tbk.,Pengembangan,Lainnya
BOBA,Formosa Ingredient Factory Tbk,Pengembangan,Lainnya
MTEL,Dayamitra Telekomunikasi Tbk.,Utama,Infrastruktur & Telekomunikasi
DEPO,Caturkarda Depo Bangunan Tbk.,Pengembangan,Konstruksi & Bahan Bangunan
BINO,Perma Plasindo Tbk.,Pengembangan,Lainnya
CMRY,Cisarua Mountain Dairy Tbk.,Utama,Lainnya
WGSH,Wira Global Solusi Tbk.,Akselerasi,Lainnya
TAYS,Jaya Swarasa Agung Tbk.,Pengembangan,Lainnya
ADMR,Alamtri Minerals Indonesia Tbk,Utama,Energi & Pertambangan
SEMA,Semacom Integrated Tbk.,Pengembangan,Lainnya
ASLC,Autopedia Sukses Lestari Tbk.,Pengembangan,Otomotif
NETV,MDTV Media Technologies Tbk.,Pengembangan,Media & Hiburan
BAUT,Mitra Angkasa Sejahtera Tbk.,Pemantauan Khusus,Lainnya
ENAK,Champ Resto Indonesia Tbk.,Pengembangan,Lainnya
NTBK,Nusatama Berkah Tbk.,Pengembangan,Lainnya
SMKM,Sumber Mas Konstruksi Tbk.,Akselerasi,Konstruksi & Bahan Bangunan
STAA,Sumber Tani Agung Resources Tb,Utama,Energi & Pertambangan
NANO,Nanotech Indonesia Global Tbk.,Akselerasi,Teknologi
BIKE,Bhineka Inovasi Ketahanan Ener,Pengembangan,Lainnya
WIRG,WIR ASIA Tbk.,Pengembangan,Lainnya
SICO,Sigma Energy Compressindo Tbk.,Pengembangan,Energi & Pertambangan
GOTO,GoTo Gojek Tokopedia Tbk.,Pengembangan,Lainnya
TLDN,Teladan Prima Agro Tbk.,Utama,Perkebunan & Agrikultur
MTMH,Murni Sadar Tbk.,Utama,Lainnya
WINR,Winner Nusantara Jaya Tbk.,Pemantauan Khusus,Lainnya
IBOS,Indo Boga Sukses Tbk.,Akselerasi,Lainnya
OLIV,Atlas Nexus Group Tbk.,Akselerasi,Lainnya
ASHA,Cilacap Samudera Fishing Indus,Pengembangan,Lainnya
SWID,Saraswanti Indoland Developmen,Pengembangan,Properti & Real Estate
TRGU,Cerestar Indonesia Tbk.,Utama,Lainnya
ARKO,Arkora Hydro Tbk.,Pengembangan,Lainnya
CHEM,Chemstar Indonesia Tbk.,Pengembangan,Lainnya
DEWI,Dewi Shri Farmindo Tbk.,Pengembangan,Lainnya
AXIO,Tera Data Indonusa Tbk.,Pengembangan,Teknologi
KRYA,Bangun Karya Perkasa Jaya Tbk.,Pengembangan,Konstruksi & Bahan Bangunan
HATM,Habco Trans Maritima Tbk.,Utama,Lainnya
RCCC,Utama Radar Cahaya Tbk.,Akselerasi,Lainnya
GULA,Aman Agrindo Tbk.,Pengembangan,Perkebunan & Agrikultur
JARR,Jhonlin Agro Raya Tbk.,Utama,Perkebunan & Agrikultur
AMMS,Agung Menjangan Mas Tbk.,Akselerasi,Lainnya
RAFI,Sari Kreasi Boga Tbk.,Pemantauan Khusus,Lainnya
KKES,Kusuma Kemindo Sentosa Tbk.,Pemantauan Khusus,Lainnya
ELPI,Pelayaran Nasional Ekalya Purn,Utama,Transportasi & Logistik
EURO,Estee Gold Feet Tbk.,Akselerasi,Lainnya
KLIN,Klinko Karya Imaji Tbk.,Akselerasi,Konstruksi & Bahan Bangunan
TOOL,Rohartindo Nusantara Luas Tbk.,Pengembangan,Lainnya
BUAH,Segar Kumala Indonesia Tbk.,Pengembangan,Lainnya
CRAB,Toba Surimi Industries Tbk.,Pengembangan,Lainnya
